STATE,COUNTY,LATITUDE,LONGITUDE,FIRE_SIZE,CAUSE_CODE,CAUSE_DESCR,DISCOVERY_DATE,DISCOVERY_TIME,CONT_DATE,CONT_TIME
GA,Bulloch,32.3551,-81.8311,7.5,5.0,Debris Burning,2452323.5,13,2452323.5,13
UT,San Juan,37.660309999999996,-109.55145,10.0,1.0,Lightning,2451372.5,18,2451373.5,13
UT,Cache,41.84055556,-111.71361111,0.1,1.0,Lightning,2456892.5,19,2456900.5,17
OR,Douglas,43.59333,-123.27139,0.01,5.0,Debris Burning,2456838.5,13,2456838.5,13
AR,SEVIER,33.87055,-94.18444000000001,1.0,7.0,Arson,2456683.5,13,2456683.5,16
MS,Rankin,32.11780526,-89.74998864,1.0,3.0,Smoking,2449772.5,17,2449772.5,18
AZ,Pima,32.3733,-112.6961,1.0,9.0,Miscellaneous,2456811.5,6,2456812.5,14
GA,Cherokee            ,34.2243,-84.5505,6.02,7.0,Arson,2449056.5,16,2449056.5,18
TN,LAWRENCE,35.296417,-87.47788,0.2,5.0,Debris Burning,2455149.5,12,2455149.5,13
ID,Bingham,43.0544,-112.3719,20.6,10.0,Fireworks,2454267.5,9,2454267.5,17
NV,White Pine,38.4575,-114.3217,0.1,1.0,Lightning,2451763.5,13,2451763.5,15
OK,Adair,35.68960169,-94.56800081,10.0,13.0,Missing/Undefined,2449444.5,17,2449444.5,20
OK,Cherokee,35.70411669,-95.08841666,90.0,7.0,Arson,2455568.5,18,2455568.5,18
NY,SUFFOLK,40.74697298,-73.16997853,0.1,9.0,Miscellaneous,2455093.5,18,2455093.5,18
NY,ST LAWRENCE,44.6485,-75.3623,0.1,9.0,Miscellaneous,2457280.5,21,2457280.5,23
ND,7,47.15138889,-103.50555556,280.0,1.0,Lightning,2453213.5,11,2453216.5,17
NY,FULTON,43.07327689,-74.29631356,0.97,9.0,Miscellaneous,2454950.5,15,2454950.5,15
UT,Beaver,38.2006,-112.7467,0.3,1.0,Lightning,2455403.5,15,2455405.5,17
GA,Brantley            ,31.2923,-81.7772,0.24,5.0,Debris Burning,2450146.5,12,2450146.5,13
KS,Shawnee,39.14,-95.68,1.0,5.0,Debris Burning,2457089.5,15,2457089.5,16
GA,Grady               ,30.9674,-84.3545,0.15,5.0,Debris Burning,2450129.5,16,2450129.5,17
AL,Wilcox,31.995969,-87.190915,0.1,9.0,Miscellaneous,2453667.5,16,2453667.5,17
MS,LAWRENCE,31.58838631,-90.13031076,1.0,1.0,Lightning,2456367.5,15,2456367.5,16
AZ,005,34.4125,-111.04583333,0.1,1.0,Lightning,2456492.5,11,2456493.5,12
SC,47,34.08333333,-82.26666667,4.0,9.0,Miscellaneous,2453071.5,20,2453071.5,22
TN,WAYNE,35.019267,-87.830683,0.1,7.0,Arson,2456113.5,10,2456113.5,11
AL,Conecuh,31.47267,-87.117573,20.0,5.0,Debris Burning,2453082.5,12,2453082.5,14
GA,Warren              ,33.30340504,-82.76802095,0.71,9.0,Miscellaneous,2455655.5,14,2455655.5,15
WI,Wood,44.334173799999995,-89.92966679999999,0.1,6.0,Railroad,2456427.5,17,2456427.5,17
SC,Horry County,34.122982,-78.930542,1.0,5.0,Debris Burning,2456325.5,14,2456325.5,15
GA,Laurens             ,32.59242953,-82.78879114,1.2,1.0,Lightning,2455734.5,5,2455734.5,6
MI,085,44.14,-85.91583333,1.0,2.0,Equipment Use,2453110.5,14,2453110.5,16
MO,Gasconade,38.389927,-91.406226,1.0,9.0,Miscellaneous,2456739.5,12,2456739.5,12
WI,Polk,45.579763299999996,-92.73656209999999,1.2,5.0,Debris Burning,2449821.5,15,2449821.5,16
WV,Mingo,37.6680957,-81.94647424,0.5,7.0,Arson,2450381.5,13,2450381.5,13
NY,LIVINGSTON,42.79139187,-77.75199512,0.5,7.0,Arson,2452034.5,15,2452034.5,15
AZ,Coconino,35.32916667,-111.84638889,0.1,1.0,Lightning,2456842.5,14,2456848.5,12
TN,LEWIS,35.569866999999995,-87.40808299999999,0.5,12.0,Structure,2456029.5,14,2456029.5,16
NY,ONTARIO,42.5835,-77.3879,1.38,9.0,Miscellaneous,2456764.5,16,2456793.5,16
CA,Shasta,40.4049,-122.1228,0.1,7.0,Arson,2452841.5,14,2452841.5,14
NY,ROCKLAND,41.0966,-74.0099,0.1,9.0,Miscellaneous,2456236.5,22,2456236.5,22
